2025-11-28 14:56:11,173 - INFO - Starting the embedding process...
2025-11-28 14:56:11,173 - INFO - Using device: cpu
2025-11-28 14:56:11,268 - INFO - Loaded 68876 sequences from data/train/human_full.fasta
2025-11-28 14:56:11,268 - INFO - Loading model: Rostlab/prot_t5_xl_half_uniref50-enc
2025-11-28 14:56:12,810 - INFO - Casting model to full precision for CPU...
2025-11-28 14:56:13,179 - INFO - Total sequences: 68876
2025-11-28 14:56:13,201 - INFO - Average sequence length: 442.2514954410825
2025-11-28 14:56:13,201 - INFO - Number of sequences > 1000: 6087
2025-11-28 14:56:32,247 - INFO - Processed sequence ID: index-45973, Length: 13
2025-11-28 14:56:32,323 - INFO - Processed sequence ID: index-46049, Length: 13
2025-11-28 14:56:32,399 - INFO - Processed sequence ID: index-46337, Length: 13
2025-11-28 14:56:32,475 - INFO - Processed sequence ID: index-46800, Length: 13
2025-11-28 14:56:32,550 - INFO - Processed sequence ID: index-48837, Length: 13
2025-11-28 14:56:32,626 - INFO - Processed sequence ID: index-50147, Length: 13
2025-11-28 14:56:32,701 - INFO - Processed sequence ID: index-51559, Length: 13
2025-11-28 14:56:32,777 - INFO - Processed sequence ID: index-51608, Length: 13
2025-11-28 14:56:32,852 - INFO - Processed sequence ID: index-52001, Length: 13
2025-11-28 14:56:32,927 - INFO - Processed sequence ID: index-52237, Length: 13
2025-11-28 14:56:33,003 - INFO - Processed sequence ID: index-52401, Length: 13
2025-11-28 14:56:33,078 - INFO - Processed sequence ID: index-54624, Length: 13
2025-11-28 14:56:33,154 - INFO - Processed sequence ID: index-55621, Length: 13
2025-11-28 14:56:33,229 - INFO - Processed sequence ID: index-56386, Length: 13
2025-11-28 14:56:33,304 - INFO - Processed sequence ID: index-57638, Length: 13
2025-11-28 14:56:33,380 - INFO - Processed sequence ID: index-57675, Length: 13
2025-11-28 14:56:33,455 - INFO - Processed sequence ID: index-57785, Length: 13
2025-11-28 14:56:33,530 - INFO - Processed sequence ID: index-58449, Length: 13
2025-11-28 14:56:33,606 - INFO - Processed sequence ID: index-58621, Length: 13
2025-11-28 14:56:33,681 - INFO - Processed sequence ID: index-59365, Length: 13
2025-11-28 14:56:33,776 - INFO - Processed sequence ID: index-62706, Length: 13
2025-11-28 14:56:33,861 - INFO - Processed sequence ID: index-63147, Length: 13
2025-11-28 14:56:33,942 - INFO - Processed sequence ID: index-63337, Length: 13
2025-11-28 14:56:34,023 - INFO - Processed sequence ID: index-13616, Length: 14
2025-11-28 14:56:34,105 - INFO - Processed sequence ID: index-26416, Length: 14
2025-11-28 14:56:34,181 - INFO - Processed sequence ID: index-26646, Length: 14
2025-11-28 14:56:34,272 - INFO - Processed sequence ID: index-27725, Length: 14
2025-11-28 14:56:34,350 - INFO - Processed sequence ID: index-27795, Length: 14
2025-11-28 14:56:34,425 - INFO - Processed sequence ID: index-29573, Length: 14
2025-11-28 14:56:34,500 - INFO - Processed sequence ID: index-30585, Length: 14
2025-11-28 14:56:34,575 - INFO - Processed sequence ID: index-31799, Length: 14
2025-11-28 14:56:34,650 - INFO - Processed sequence ID: index-31833, Length: 14
2025-11-28 14:56:34,725 - INFO - Processed sequence ID: index-32504, Length: 14
